#,Model,Serial,IP Adress,Supply Date,Begin Count,Last Count,Count,Total Pages
1,Vered Brother MFC-8950DW,,10.1.2.171,02/12/2018,0,37250,41622,4372
2,TH Samsung SL-M4070FR,ZDFLBJFF1000D2V,10.1.2.200,02/12/2018,73349,98727,101148,2421
3,Evgeny Brother MFC-L2710DN,E78294H8N384930,10.1.2.180,02/12/2018,70888,17512,18210,698
4,Kiut EPSON WF-M5799,X3BL072291,10.1.1.212,27/04/2021,10,22323,27562,5239
5,Kabala Brother MFC-L2710DN,E78294J8N535626,10.1.1.223,06/12/2018,0,10286,11506,1220
6,SMT Samsung SL-M3370FR,ZDFLBJAH70002BT,10.1.1.180,06/12/2018,0,147898,N/A,N/A
7,Shipping EPSON WF-M5799,X3BL050799,10.1.1.122,24.10.2020,0,35831,41725,5894
8,Engeneers Brother MFC-L2710DN,E78294J8N535628,10.1.2.55,06/12/2018,0,23327,24326,999
9,Nimrod Brother MFC-L2710DN,E78294J8N535613,10.1.1.199,06/12/2018,0,14192,14518,326
10,Dima Brother MFC-J5330DW,E76884F8F143147,10.1.2.101,06/12/2018,0,11278,11787,509
11,Management Brother MFC-J5330DW,E76884J8F149384,10.1.2.83,06/12/2018,0,11653,11925,272
12,Hanna Brother 5089,E70781L2N291381,10.1.2.115,06/12/2018,59488,104801,107654,2853
13,Guy Brother MFC-J5330DW,E76884F8F143145,10.1.2.61,06/12/2018,0,1754,1791,37
14,Orly Brother MFC-L2710DN,E78294H8N384910,10.1.2.71,10/12/2018,0,4869,5131,262
15,Dovrat Brother MFC-L5750DW,E75396H7N529375,10.1.2.4,21.02.2021,39996,40716,40740,24
16,Valery Brother MFC-L2710DN,E78294A9N157062,10.1.2.98,07.02.2022,16715,16715,16726,11
