#,Model,Serial,IP Adress,Supply Date,Begin Count,Last Count,Count,Total Pages
1,Vered Brother MFC-8950DW,,10.1.2.171,02/12/2018,0,43289,44957,1668
2,TH Samsung SL-M4070FR,ZDFLBJFF1000D2V,10.1.2.200,02/12/2018,73349,101972,103324,1352
3,Evgeny Brother MFC-L2710DN,E78294H8N384930,10.1.2.180,02/12/2018,70888,18496,18791,295
4,Kiut EPSON WF-M5799,X3BL072291,10.1.1.212,27/04/2021,10,30153,33128,2975
5,Kabala Brother MFC-L2710DN,E78294J8N535626,10.1.1.223,06/12/2018,0,11846,12227,381
6,SMT Samsung SL-M3370FR,ZDFLBJAH70002BT,10.1.1.180,06/12/2018,0,150451,151250,799
7,Shipping EPSON WF-M5799,X3BL050799,10.1.1.122,24.10.2020,0,43052,44955,1903
8,Engeneers Brother MFC-L2710DN,E78294J8N535628,10.1.2.55,06/12/2018,0,24681,25110,429
9,Nimrod Brother MFC-L2710DN,E78294J8N535613,10.1.1.199,06/12/2018,0,14775,15154,379
10,Dima Brother MFC-J5330DW,E76884F8F143147,10.1.2.101,06/12/2018,0,11943,12265,322
11,Management Brother MFC-J5330DW,E76884J8F149384,10.1.2.83,06/12/2018,0,11999,12095,96
12,Hanna Brother 5089,E70781L2N291381,10.1.2.115,06/12/2018,59488,108677,109978,1301
13,Guy Brother MFC-J5330DW,E76884F8F143145,10.1.1.61,06/12/2018,0,1811,1824,13
14,Orly Brother MFC-L2710DN,E78294H8N384910,10.1.2.99,10/12/2018,0,5480,5828,348
15,Dovrat Brother MFC-L5750DW,E75396H7N529375,10.1.2.4,21.02.2021,39996,40752,40756,4
16,Valery Brother MFC-L2710DN,E78294A9N157062,10.1.2.98,07.02.2022,16715,16903,17238,335
