#,Model,Serial,IP Adress,Supply Date,Begin Count,Last Count,Count,Total Pages
1,Brother MFC-8950DW,,10.1.2.71,43436,0,37250,38870,438
2,Samsung SL-M4070FR,ZDFLBJFF1000D2V,10.1.2.200,43436,73349,98727,99940,931
3,Brother MFC-L2710DN,E78294H8N384930,10.1.2.180,43436,70888,17512,17842,152
4,EPSON WF-M5799,X3BL072291,10.1.1.212,44313,10,22323,24803,429
5,Brother MFC-L2710DN,E78294J8N535626,10.1.1.223,43440,0,10286,10620,718
6,Samsung SL-M3370FR,ZDFLBJAH70002BT,10.1.1.180,43440,0,147898,148839,142
7,EPSON WF-M5799,X3BL050799,10.1.1.122,24.10.2020,0,35831,38552,53
8,Brother MFC-L2710DN,E78294J8N535628,10.1.2.5,43440,0,23327,23663,112
9,Brother MFC-L2710DN,E78294J8N535613,10.1.1.199,43440,0,14192,14296,123
10,Brother MFC-J5330DW,E76884F8F143147,10.1.2.101,43440,0,11278,11551,512
11,Brother MFC-J5330DW,E76884J8F149384,10.1.2.83,43440,0,11653,11868,45
12,Brother 5089,E70781L2N291381,10.1.2.115,43440,59488,104801,105980,2
13,Brother MFC-J5330DW,E76884F8F143145,10.1.2.61,43440,0,1754,1760,
14,Brother MFC-L2710DN,E78294H8N384910,10.1.2.71,43444,0,4869,4984,
15,Brother MFC-L5750DW,E75396H7N529375,10.1.2.4,21.02.2021,39996,40716,40725,
