#,model,serial,ip,date,start count,last count,Count,pages
2,Samsung SL-M4070FR,ZDFLBJFF1000D2V,10.1.2.200,02-12-18,73349,96895,98727,1832
4,EPSON WF-M5799,X3BL072291,10.1.1.212,27-04-21,10,19211,22323,3112
5,Brother MFC-L2710DN,E78294J8N535626,10.1.1.223,06-12-18,0,9978,10286,308
6,Samsung SL-M3370FR,ZDFLBJAH70002BT,10.1.1.180,06-12-18,0,146326,147898,1572
7,EPSON WF-M5799,X3BL050799,10.1.1.122,24.10.2020,0,33508,35831,2323
8,Brother MFC-L2710DN,E78294J8N535628,10.1.2.5,06-12-18,0,22612,23327,715
9,Brother MFC-L2710DN,E78294J8N535613,10.1.1.199,06-12-18,0,14092,14192,100
10,Brother MFC-J5330DW,E76884F8F143147,10.1.2.101,06-12-18,0,10952,11278,326
11,Brother MFC-J5330DW,E76884J8F149384,10.1.2.83,06-12-18,0,11610,11653,43
12,Brother 5089,E70781L2N291381,10.1.2.115,06-12-18,59488,103309,104801,1492
14,Brother MFC-L2710DN,E78294H8N384910,10.1.2.71,10-12-18,0,4796,4869,73
15,Brother MFC-L5750DW,E75396H7N529375,10.1.2.4,21.02.2021,39996,40659,40716,57
